Class 	Site Name 	Game URL 	Image URL 	Status
1	Zooplop	https://jamestore214.github.io/g50/class-1	Image	Found
2	World Conquest - Poki	https://jamestore214.github.io/g50/class-2	Image	Found
3	Toaster Dash	https://jamestore214.github.io/g50/class-3	Image	Found
4	Tank Ball: Monster Battle - Poki	https://jamestore214.github.io/g50/class-4	Image	Found
5	Sudoku - the classic logic puzzle game by supernice.games	https://jamestore214.github.io/g50/class-5	Image	Found
6	Stickman Archero Fight	https://jamestore214.github.io/g50/class-6	Image	Found
7	Differences	https://jamestore214.github.io/g50/class-7	Image	Found
8	SpaceThing_2Sad_Poki	https://jamestore214.github.io/g50/class-8	Image	Found
9	Snake Solver	https://jamestore214.github.io/g50/class-9	Image	Found
10	Rush Race MX	https://jamestore214.github.io/g50/class-10	Image	Found
11	Rodeo Stampede	https://jamestore214.github.io/g50/class-11	Image	Found
12	Ragdoll Hit - Poki	https://jamestore214.github.io/g50/class-12	Image	Found
13	puffy_cat 1.8.4	https://jamestore214.github.io/g50/class-13	Image	Found
14	OvO Dimensions	https://jamestore214.github.io/g50/class-14	Image	Found
15	Ooze Odyssey	https://jamestore214.github.io/g50/class-15	Image	Found
16	Life_Choises_Web	https://jamestore214.github.io/g50/class-16	Image	Found
17	Lava Bird Poki	https://jamestore214.github.io/g50/class-17	Image	Found
18	JammingCarEscape	https://jamestore214.github.io/g50/class-18	Image	Found
19	Impossible Tic-Tac-Toe	https://jamestore214.github.io/g97/class-19	Image	Found
20	Idle Cowshed	https://jamestore214.github.io/g50/class-20	Image	Found
21	Gobdun	https://jamestore214.github.io/g50/class-21	Image	Found
22	Fruit Ninja	https://jamestore214.github.io/g50/class-22	Image	Found
23	Freefall Apart	https://jamestore214.github.io/g50/class-23	Image	Found
24	Driftwave	https://jamestore214.github.io/g50/class-24	Image	Found
25	Draw Pixel Art	https://jamestore214.github.io/g50/class-25	Image	Found
26	Digging Master - Poki	https://jamestore214.github.io/g50/class-26	Image	Found
27	Tower Strategy	https://jamestore214.github.io/g50/class-27	Image	Found
28	CastleOfChaosv2	https://jamestore214.github.io/g50/class-28	Image	Found
29	Bullet Bros	https://jamestore214.github.io/g50/class-29	Image	Found
30	BrainTest4_Poki	https://jamestore214.github.io/g50/class-30	Image	Found
31	Bottle Flip Challenge | Pupgam Studios	https://jamestore214.github.io/g50/class-31	Image	Found
32	BlobDrop	https://jamestore214.github.io/g50/class-32	Image	Found
33	Bird Jumper	https://jamestore214.github.io/g50/class-33	Image	Found
34	A Pretty Odd Bunny Roast it!	https://jamestore214.github.io/g50/class-34	Image	Found
35	Pirates Merger	https://jamestore214.github.io/g77/class-35	Image	Found
36	Papa Pizzeria	https://jamestore214.github.io/g77/class-36	Image	Found
37	Papa Donuteria	https://jamestore214.github.io/g77/class-37	Image	Found
38	Papa Pancakeria	https://jamestore214.github.io/g77/class-38	Image	Found
39	Papa Louie	https://jamestore214.github.io/g77/class-39	Image	Found
40	Papa Taco Mia	https://jamestore214.github.io/g77/class-40	Image	Found
41	Papa Hotdoggeria	https://jamestore214.github.io/g77/class-41	Image	Found
42	Midnight Drive Test IOS	https://jamestore214.github.io/g77/class-42	Image	Found
43	THUNDERDOGS	https://jamestore214.github.io/g77/class-43	Image	Found
44	Hop Chop by SnoutUp (Poki)	https://jamestore214.github.io/g77/class-44	Image	Found
45	Goat vs Zombies - Poki	https://jamestore214.github.io/g77/class-45	Image	Found
46	Pond Race	https://jamestore214.github.io/g77/class-46	Image	Found
47	grow_up_the_Cats	https://jamestore214.github.io/g77/class-47	Image	Found
48	—	—	Image	Game not found
49	SUPER FOWLST 2 POKI	https://jamestore214.github.io/g77/class-49	Image	Found
50	Last Warriors	https://jamestore214.github.io/g77/class-50	Image	Found
51	12 MiniBattles 2	https://jamestore214.github.io/g77/class-51	Image	Found
52	Free Kick Screamers	https://jamestore214.github.io/g77/class-52	Image	Found
53	S k Y - M A D	https://jamestore214.github.io/g77/class-53	Image	Found
54	Rally Point 2 - Poki	https://jamestore214.github.io/g77/class-54	Image	Found
55	Rally Point 5 - Poki	https://jamestore214.github.io/g77/class-55	Image	Found
56	Freeway Fury	https://jamestore214.github.io/g77/class-56	Image	Found
57	Final Ninja	https://jamestore214.github.io/g77/class-57	Image	Found
